Day,Date,Start Page,End Page,Pages Read,Book ,Total Pages,Read
1,01 Jul 2019,117,150,33,Waking Up: A Guide to Spirituality Without Religion by Sam Harris,207,72%
2,02 Jul 2019,150,207,57,Waking Up: A Guide to Spirituality Without Religion by Sam Harris,207,100%
3,03 Jul 2019,1,27,26,The Art of Learning: A Journey in the Pursuit of Excellence by Josh Waitzkin,265,10%
4,04 Jul 2019,27,53,26,The Art of Learning: A Journey in the Pursuit of Excellence by Josh Waitzkin,265,20%
5,05 Jul 2019,53,102,49,The Art of Learning: A Journey in the Pursuit of Excellence by Josh Waitzkin,265,38%
6,06 Jul 2019,102,173,71,The Art of Learning: A Journey in the Pursuit of Excellence by Josh Waitzkin,265,65%
7,07 Jul 2019,173,215,42,The Art of Learning: A Journey in the Pursuit of Excellence by Josh Waitzkin,265,81%
8,08 Jul 2019,215,265,50,The Art of Learning: A Journey in the Pursuit of Excellence by Josh Waitzkin,265,100%
9,09 Jul 2019,1,29,28,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,5%
10,10 Jul 2019,29,58,29,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,9%
11,11 Jul 2019,58,105,47,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,17%
12,12 Jul 2019,105,141,36,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,23%
13,13 Jul 2019,141,176,35,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,28%
14,14 Jul 2019,176,221,45,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,35%
15,15 Jul 2019,221,250,29,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,40%
16,16 Jul 2019,250,276,26,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,44%
17,17 Jul 2019,276,322,46,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,52%
18,18 Jul 2019,322,347,25,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,56%
19,19 Jul 2019,347,372,25,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,60%
20,20 Jul 2019,372,399,27,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,64%
21,21 Jul 2019,399,425,26,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,68%
22,22 Jul 2019,425,452,27,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,72%
23,23 Jul 2019,452,477,25,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,76%
24,24 Jul 2019,477,502,25,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,80%
25,25 Jul 2019,502,527,25,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,84%
26,26 Jul 2019,527,553,26,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,89%
27,27 Jul 2019,553,578,25,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,93%
28,28 Jul 2019,578,624,46,Total Recall: My Unbelievably True Life Story by Arnold Schwarzenegger,624,100%
29,29 Jul 2019,1,27,26,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones by James Clear,298,9%
30,30 Jul 2019,27,62,35,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones by James Clear,298,21%
31,31 Jul 2019,62,90,28,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones by James Clear,298,30%